,ItemCode,CategoryCode,Week_num,WeeklySales,Unique_ID
0,3418,category_1,1,29,3418_1
1,3418,category_1,2,42,3418_2
2,3418,category_1,3,41,3418_3
3,3418,category_1,4,41,3418_4
4,3418,category_1,5,44,3418_5
5,3418,category_1,6,46,3418_6
6,3418,category_1,7,43,3418_7
7,3418,category_1,8,49,3418_8
8,3418,category_1,9,54,3418_9
9,3418,category_1,10,69,3418_10
10,3418,category_1,11,101,3418_11
11,3418,category_1,12,73,3418_12
12,3418,category_1,13,75,3418_13
13,3418,category_1,14,56,3418_14
14,3418,category_1,15,83,3418_15
15,3418,category_1,16,85,3418_16
16,3418,category_1,17,89,3418_17
17,3418,category_1,18,67,3418_18
18,3418,category_1,19,109,3418_19
19,3418,category_1,20,72,3418_20
20,3427,category_1,1,11,3427_1
21,3427,category_1,2,40,3427_2
22,3427,category_1,3,20,3427_3
23,3427,category_1,4,48,3427_4
24,3427,category_1,5,54,3427_5
25,3427,category_1,6,28,3427_6
26,3427,category_1,7,36,3427_7
27,3427,category_1,8,52,3427_8
28,3427,category_1,9,42,3427_9
29,3427,category_1,10,57,3427_10
30,3427,category_1,11,46,3427_11
31,3427,category_1,12,45,3427_12
32,3427,category_1,13,78,3427_13
33,3427,category_1,14,39,3427_14
34,3427,category_1,15,66,3427_15
35,3427,category_1,16,32,3427_16
36,3427,category_1,17,34,3427_17
37,3427,category_1,18,29,3427_18
38,3427,category_1,19,58,3427_19
39,3427,category_1,20,35,3427_20
40,7666,category_3,1,84,7666_1
41,7666,category_3,2,119,7666_2
42,7666,category_3,3,196,7666_3
43,7666,category_3,4,185,7666_4
44,7666,category_3,5,94,7666_5
45,7666,category_3,6,15,7666_6
46,7666,category_3,7,10,7666_7
47,7666,category_3,8,30,7666_8
48,7666,category_3,9,79,7666_9
49,7666,category_3,10,82,7666_10
50,7666,category_3,11,141,7666_11
51,7666,category_3,12,219,7666_12
52,7666,category_3,13,125,7666_13
53,7666,category_3,14,107,7666_14
54,7666,category_3,15,15,7666_15
55,7666,category_3,16,26,7666_16
56,7666,category_3,17,28,7666_17
57,7666,category_3,18,38,7666_18
58,7666,category_3,19,41,7666_19
59,7666,category_3,20,39,7666_20
60,9925,category_2,1,1,9925_1
61,9925,category_2,2,9,9925_2
62,9925,category_2,3,11,9925_3
63,9925,category_2,4,13,9925_4
64,9925,category_2,5,5,9925_5
65,9925,category_2,6,11,9925_6
66,9925,category_2,7,11,9925_7
67,9925,category_2,8,13,9925_8
